,text
0,adoro
1,Blossom of Luck
2,I love this album
3,Ahhhhhhhhhh
4,LOVE IT
5,"Life as one,my god amazing song"
6,"Skinshape, an IPA, pistachios, I’m in heaven...."
7,Aaah Skinshape brings plp together 🌍💙👈
8,I love this.
9,"I walked into chipotle and heard this music faintly. I used SoundHound and stood on a chair to put it next to the speaker, thankfully it picked up a song by Beck I believe it’s called ( No Distraction) it was a remix. Then it put me on a playlist. I’m glad it did."
10,😍😍😍🌸🌺🌻🌸🌺🌺🌸🌻🌻🌺🌺🌸💃👋👋👋🇧🇻🇧🇻🇧🇻🇧🇻
11,"Back here again and each time such a treat, 'love it +++ and I'm gonna do my best to get the album as soon as we're not locked down anymore (since I do not purchase anything from Mr Bezos ""amaz'crap"", no way René-José !)"
12,amazing amazing gold music
13,Be careful with skinshape and ole uncle Sidney can be dangerous.
14,This album turn loneliness into creativeness
15,Músicas para ouvir chapado.
16,This is just delicious <3
17,So good EACH SONG ENDS WHEN IT SHOULD TOO
18,Hermoso
19,"This place feels like home already. 
If you read this - I hope you do well ✌"
20,so cuteeeee
21,When my children are conceived this will be playing in the background.
22,tasty
23,Los mejores minutos de mi vida
24,nice aIbum 4 have sex
25,. Happiness is the art of relaxation : )
26,"wonderful autumn afternoon, and I enjoy the music.....:)"
27,"An oasis to this weary traveler. The noisy commercial world is drowning, and this is the life vest they don't even care to find. Oh, well..."
28,"Not bad, a bit boring after a bit tho"
29,i am found...here i am floating in memory
30,Que bonito 🥺❤️
31,the transition at 14:30 surprised me
32,Este disco me vuela la cabeza de principio a fin.
33,You make life feel so easy and full of love. Your music keeps me clear when the walls are closing in again. Big love go's out to you my friend. From the bottom of my heart.... Thank you for what you created ♥️
34,Shimmer is a Work of art
35,hello
36,"Thank you, algorithm"
37,Life as one is way too short
38,Wish I could like this video twice
39,cool track
40,"dunno how this came on since i was listening to the cure before this while writing a paper, but im really glad it did!  im in a much better humour now!"
41,"first time hearing this just now, it found me. reminds me of the first time i heard badlydrawnboy's album hour of the bewilderbeast ... still listen sometimes, 15 years later... i think this one might stick a while too..."
42,"Smooth, Melodious, Relaxing and well performed."
43,"This guy is beyond phenomenal in producing music. The blending of instruments, the melodies he sings over it, etc.   Saying that he is talented is an understatement"
44,"Whether alone or in company, joy and peace can be found in Christ.  On a side note,  I love the musical arrangement of this song."
45,"C'est beau, comme la rencontre improbable puis messianique d'un parapluie et d'une machine à coudre sur une table de dissection."
46,"First i tought it was from hippie time, after i was thinking it was from today... then i realized is timeless"
47,thats sweet as bonobo (old) albums!!!!
48,Maravillosa música... Me llena emocionalmente
49,"when the trumpet  of self introspection  call's you, that make this album"
50,She just linked it to me. Now I am listening to this song in my headphones and watching her smile and how she is working at her laptop..
51,"It was a cold and dark September night, when I first discovered Skinshape, alas that was many years ago. I'm 98 years old now and still love to jam it out to Skinshape. Never stop rocking."
52,Thank You.
53,This is probably what God's fart sounds like
54,This sound remind me the music of Pink floyd
55,Um dos meus álbuns favoritos dessa vida
56,This guy is great. I'm so glad I discovered his music.
57,20;00
58,youtube recommendations has great taste in music
59,Never is there “not a good time” to jam this
60,"Hoy 10 de septiembre de 2020 acabó de descubrir a Skinshape. Ahí tienes año de mierda, por fin una buena para mi.

Pd: Estoy pegado con Metanoia y Shimmer."
61,YouTube algorithm auto play can be really very very good. How I wish I had this in the 90s. There was so much good music and we only got to hear some of it if we were lucky.
62,wow what a voice! stunning
63,People don’t have
64,So nice!
65,L💜ve it...
66,"u dont need to know skinshape(ss) to feel soooooo familiar with, man those sounds is like i know tham so well wthin me"
67,holy smokes shimmer
68,Majestic album.
69,"We come in numbers, we come with need
We have a reason to fight my greed
Just take a look, don't look too hard
You'll see your image, yourself surpassed
Don't be afraid, with open arms
This is the day to lay down arms
And with our strength, we'll be as one
A life of goodness, a life as one
A life as one, a life
A life as one

..."
70,Woa!!!
71,Love
72,what an epic music!
73,Awesome music!! I love it! Greetings from Peru :D
74,guys what music genre is this? i think i found my new favourite music genre
75,You must be very old...🤩
76,"You ever notice how, no matter how obscure the band, there's always someone who found them before you?"
77,Skinshape paired with premium cigars is ultimately the finest blend. Enjoying the finest things in life is so blissful
78,Why Not!!!
79,Not sure how I got here...glad it happened :)
80,Where has this little treasure been hiding?!
81,"« I didn’t know » the absolute one. Listening to this when I was on vacation, enjoying the sun and the beach."
82,Timeless
83,"I check out random people’s youtube channels - the ones who commented on videos like this, and go to their playlists and end up finding songs and albums like this. Either that or just searching up random jibberish words into the YouTube search bar. Seems to be working for me, found some great music and musicians. Love it"
84,"I'm so happy I've found this channel. Honestly, I've been listening to it non stop."
85,Nice
86,impecable...
87,Shit! que vaina tan deliciosa para los oidos...
88,Esta vaina es hermosa.
89,"I love replaying this album while working, always gets me in a very good mood, thankyou Skinshape!"
90,Thanks for playing this for me Youtube.....damn.
91,That moment you realize the music you are listening to is YouTube algorithm choosing a great album to play after the previous song ended. Without knowing it I've been subconsciously grooving on this for 15 minutes. What a strange but great way to discover good music!
92,After Midnight make me crazy
93,"Do you guys know what is the best part of listen to this master piece?... THE COMMENTS, idk why but i feel so conected and happy with all the people in here         TODO BIEN AL 100 🌈🍃🍄✨"
94,2m views and only 53k likes :c
95,♥️
96,I have such great taste in music. :3
97,"When Youitube Is in alignment with you,r mood and taste, you have this suggestion !  lol"
98,UFF amazing! ♥
99,"Esto me recuerda a tantas pastillas, ácidos, marihuana, éxtasis, el silencio, los setenta, hongos, y sobretodo a los cigarros rojos donde lo único de lo que me pude dar cuenta era de mi inmensa soledad, destrucción y añoranza. No es tan mal después de todo."
100,This is sweet!! Thanks for this 💎
101,wow this fucking rules
102,"que cd bom da porr@@@@@
good as fork <3"
103,"Honestly I love your work man, I discovered your music thanks to the song ""Don´t call my name"" since then I never cease to amaze me with your music and I liked this album a lot."
104,When you've now listened to this album 257 times......and counting!
105,If the existence of Earth was mapped out on a 24 hr time clock man would be present only for the last 2 seconds. That's mind blowing just like this music.
106,"The first time I played Skin shapes, my neighbours threw a Brick through my window, so they could hear it better."
107,SO SMOOTH...
108,"you give me peace, you give me chances to live <3 thanks"
109,Amazing 💜💜💜
110,This album is a pure masterpiece. Much Love to everyone who enjoy it !
111,I listened to this for hours in one listen. Thanks for the ride!
112,"wow tho. Just, wow"
113,WOW !!! WHAT FANTASTIC UPLIFTING POSITIVE ENERGY MUSIC...REALLY GOOD STUFF...THANK YOU😊😊❤🌏🌍🌎👍👍👍👍👍👍👍💥
114,what grand sound and epic channeling
115,Ingenious album ! Magic !
116,"this...this is a stunning work of art. this puts me in the most relaxed and blissful state, even if im not feeling great before listening. i am CONSTANTLY looking for music like this and cant seem to find it very often, but this is exactly what im looking for. im so grateful for musicians who pour their entire heart, soul, and consciousness into their work, and this masterpiece is a perfect example of this sort of genuine expresssion."
117,Ngl these are some beats to relax/study to
118,"Great music, great album. I'm really digging Skinshape lately. Clearly a mixing error at 19:57"
119,this is my favourite album
120,20:30 !!!
121,"Went to see Palace in March 2017, they were playing a gig at Whelans in Dublin! He was playing bass with the lads & they sounded fucking incredible. He left the band shortly after and I was sad! I realised now he had to go his own route because this is musically so different than the sound Palace were illustrating! Delighted he chose to venture down this unique route."
122,"Smoking a fine cigar watching the sunset over the mountains to this, pure bliss...."
123,i quite like the album. thank you for your participation in it.
124,Is anybody listening now ?
125,Just had services for the 30 year love of my life ...😢💯❤️ and this album has helped me Center myself and reflect on times had and that were supposed to be ... thank you 🙏🏽 😔😇❤️
126,this is unbelievably good...thanks you tube algorithm.
127,"Que placer escuchar música actual de este calibre, de mis favoritos!"
128,Wooooow ! this is good :)
129,That little solo at the very first seconds was enough to get me hooked.
130,Why have I only just discovered Skinshape? This is gorgeous....
131,"Skinshape opens the door of dejavu and imagined lifetimes, kaleidoscope of images, nostalgia for unlived memories"
132,Nice lullaby...
133,I didn't know was veryyy fucking beautiful
134,"jeeez this give me guitar solo idea, dont respect the scale bru :D id blues the fk out of this"
135,"Oye, a proper ""Ska"" band, focused on current struggles and topics concerning humanity. True that, and this crew truly gets  the vibe."
136,If everyone tried it there would be world peace. 👁
137,I think I have a new addiction.....a healthy one for a chance >> SKINSHAPE!!!!
138,nice to meet you
139,"""i didn´t know "" its the best song ever <3 with that song i get to know Skinshape and NO REGRETS (From Chile)"
140,love reading the comments in this kind of music y'all have really good vibes
141,This is amazing
142,This Is So Chill!
143,"Filoxiny, love to the strangers"
144,Too many ads on this channel
145,<3
146,this is fantastic
147,Awesome work! Skinshape found me and I feel blessed
148,444 morons fck m all go listen to Korn
149,"arjantindeyim, sokaklarda amacsizca yuruyorum. kulagimda bu album caliyor. dunyanin her hangi bir yerinde ozgurce geziyorum"
150,"Been listening for a few hours alone with a candle and beer. It was funny because I was thinking about how nice it would be to be wrapped around someone and just this, and a song just so happens to say the same thing i was feeling. Fukcing nice! The exact thing. Right time. Xoxo"
151,"Headphones on, eyes closed, mind expanded, journey started."
152,Glad I decided to listen!
153,"so glad people are finally finding and appreciating this beautiful piece of art. a 32 minute journey of ups and downs and intense emotion, music straight from the soul <3"
154,there are moments in life that all I want is for my sounds to be heard from random people around the world and help them express random feelings that I really never thought about.
155,this reminds me of myself and I don't have a self
156,"Thanks for posting. Skinshape proves there still are phenomenal new groups out there. The music is beautifully performed and written.  I love this song and many others.  I am an 80s music fan(Goth, New Wave), but  I am still always searching for new music. Perfect music for anything and everything."
157,House of the rising sons
158,"I left my computer and came back. It was a question: ""Are you still watching?"" and I just thought lets give it a try and then I fell in love with this music so then I read the name, Skinshape. That was so catchy."
159,This album is out of this world
160,"I love listen this type of music right now, rain, coffee and just myself. Great job"
161,<3 <3 <3 eargasm
162,chapadah
163,reminds me of club penguin café music
164,"12:20
esto es lo que se siente la nostalgia? ;'("
165,"What a great album, thank you"
166,Fucking awesome!
167,anyone else shutting everything out at 3am and absorbing in this album like sponge?
168,I just can't stop...
169,The beat at 20:20 has nice Homestuck soundtrack vibes
170,"That is flocking nice, glad I came across you! You rock!"
171,Great job !! THX !!!
172,So I finally get it! The youngsters are trading actual talent for DESIRING actual talent. cool
173,Perfect Saturday listen <3
174,"We're gonna make it, people. Just try and stay cool for now."
175,WOW ±±
176,"Que buen album, super recomendados <3"
177,"como llegue aca ? no se, pero... bien :D"
178,"Pure magic, that music that make you fly far away in your memories"
179,elements of Portis head??
180,🤙
181,Que deliciosas rolas.   Wow. Que descubrimiento ... Easy listening with delicious Atmosphäre
182,Que deliiiiiiiicia sonoraaaaaa
183,elevator music
184,"I'm trying to sleep but they have a memories in my mind, that's hurt."
185,6:58 gets me every time
186,Thank you YouTube algorithm
187,"Often ""We Lose"" ourselves tirelessly working midnight ""After Midnight"" , this album called ""Filoxiny"" I reckon, asks us to ""Breathe"" a little for us and ""Shimmer"" down on the exhausting life. ""I Didn't Know"" this kind of music could talk you into considering this ""Life As One"" small town ride where you pace yourself. ""Metanoia"" is my favourite song here. What's yours?"
188,wow what a find
189,muito bom!
190,"Primera vez que escucho está banda ,llegué por accidente ,empezaré a escucharlos ya,un comentario en español , saludos a tod@s."
191,this is straight dope
192,"That first track reminds me of Careful With That Axe, Eugene by The Pink Floyd."
193,So good
194,"clean and clear, this is dear..my, my, my....very nice. gonna listen again... and again... and............."
195,This was just what I needed right now.
196,This album is like a precious treasure box!
197,Wow this LP is at around $100 at discogs
198,"i cant stand this anymore, please stop sending me here youtube."
199,Everything on this sounds divine ✨
200,"If you're reading this, take it easy. Relax, just enjoy these tunes n continue to put that positive energy out there 🙌🏼"
201,I love u all
202,Only music that distracts me from distractions. Love it
203,"VIDEO PAUSED - Continue watching?
YES I'm going to continue watching. TF is wrong with you?"
204,"Hmm sounds like an album I am going to buy,  this is available on CD?"
205,8:15
206,awesome♡♡♡
207,14:47
208,Holy shit im relaxed
209,"holy shit.... this is so good and so psychodelic i love it, im so glad i skinshape found me,"
210,"Second song sounds awesome!
Thanks Skinshape"
211,"This album started playing while having the autoplay and working late with days of little sleep accumulated and stress built up. But when this album started playing it was like telling me to relax and calm down during those tiresome lonely late night/dawn hours. I felt relief and taken care of. I love this, especially ""Life as One."""
212,"Brutal! Un álbum lleno de percepciones, sentimientos y anhelos, muchas gracias. 🇨🇴🎧🖤"
213,지리고 오져버린다
214,Those first 10 seconds got me hooked. So glad this came up in my recommended.
215,"Sitting by a small fire, sipping red wine and smoking a cigar. My sight meandering between the flames and the night sky and reflecting on all that weighs on my mind.. Skinshape is just right for this feeling."
216,Legal d +
217,Metanoia is a Greek word.
218,28:36
219,"Ah perfect, it's just after midnight that the first song started. What are the odds"
220,12:22
221,4:40
222,How is this albums mix so crisp and warm at the same time... Wow.
223,15:20 ufffffff
224,"Skinshape came to me in the worst part of my life which suddenly changed dramatically, even with covid 19 ...great albums, all of them!"
225,que buena miusik <3
226,"""l Didn't Know""....proper sweet vibe"
227,this is new pink floyd
228,Everybody be sampling romance I love it
229,all algorithmic roads end with skinshape. so bland.
230,"Makes me think of Skin Scapes,  the seedy spy bar in the hallucinatory  _The Singing Detective_"
231,"This is totally some smoke some weed, draw and chill vibes"
232,"i find this masterpiece into the corona virus pandemic time,i feel safe 💜"
233,I no have words to describe 'Metanoia' and all of the rest of this album. SKINHAPE! I just love you!
234,Just can't get enough of this
235,Su voz es igual a la de Jacob Hemphill (S.O.J.A)!!!!
236,How we got here doesn't matter. What matters is we stayed.
237,We’re all friends ❤️
238,this is gorgeous have a great day beautiful people
239,nice stuff!
240,One of the best bands of this decade
241,the drumming is so sick in these songs
242,"I've got goosebumps when I listen to this, only really good music makes me feel that way. There isn't a single track that makes me ""meh"" and want to skip it! Skinshape is incredibly talented! I totally understand why he focuses on creating music instead of touring and rehearsing with a band... but damn, I'd love to hear a live performance in Paris. :)"
243,wow! amazing!
244,This is a sound I want to experiment with in live sets. COVID 2019.
245,Why in the heck nobody told me these people exist?! This is real music. Thanks for making me believe real music is not dead.
246,"This whole album reminds me of my first sexual experience, not because it was playing or anything no, they both ended to soon 🤭"
247,"mmmmmmmmmmmmmmmmmmmmmmmmmmmmm lecker Schniddschä willst dich an mei Tischschä sidzä.... aaa jaaa komm lecker, lecker, lecker Drinkschä."
248,soundtrack for my quarantine. (:
249,those trumpets yes
250,"Isto é música, música é liberdade.."
251,Dark Feeling
252,"kinda reminds me of skalpel, my best find of this week"
253,"what i just found, my favorite band out of youtub reccomendation, what a groovy retro upbeat , loved it !"
254,I never find anything like skinshape
255,"You know, I just recently discovered this channel's bedroom pop live stream which I really enjoyed so I subscribed to have it appear in my subscription feed. However, I wondered whether I'd regret my decision and how good the uploads would be. As I scrolled down I noticed that this channel had uploaded an entire Skinshape Album. It was at that moment I realized I do not have to worry."
256,Nice!!!.... I never have listened this band.... That's what i call trip-hop
257,"i never thought that after almost 3 years listening to skinshape i would be here reading all of this coments and seeing all of this views. im glad that you guys discover this, and also im craying cuz all of this sounds remember such a hard time, and at the same time heals that pain. Thanks Skinshape, thank you humans for support this amazing band."
258,"Steps to get into it deeper:
- Isolate
- Lie down
- Put on your headphones 
- Let your imagination fly
- Start the journey
(And don’t forget to press the reset button)"
259,makes crying sessions more enjoyable
260,4:39
261,AIR
262,Findings gems every where I look
263,Thanks once again Youtube
264,😻♥️👌🏼🍁🚬
265,"This is reddit of lofi, at first you think it's cool but after hearing it for two minutes it becomes so annoying and you wish it never existed"
266,Thank you
267,infinite emotional gangsta
268,I have a feeling I'll be glad I clicked :)
269,One of my alltime favourites !
270,what a discover tonight...i wont go to sleep now cocktail and skinshape
271,"Tits on a bull....bull in a china shop..bull in the heather... goes to the head of the class...passes past past class...fox in the bushes...meant to last...cast to clasp..aghast ..a gasp...first class....

...hall of fame...first time ballot..a blast.....time for recess"
272,"I got this recommended off my own EP, guess it's pretty normal?"
273,Los asquerosos anuncios destruyen la magia de este maravilloso álbum.
274,"Não sei como achei, mas foi bom ter achado"
275,"trabajaba en un café y para ambientar el lugar me ponía música ya que yo era el único barista , el café era bastante bueno y el lugar pequeño pero muy acogedor, skinshape llego así como a algunos de ustedes sin haberlo buscado y desde entonces recuerdo la sensación de lo hermoso que era preparar un café, escuchar esta música y dejar que los demás disfrutaran de ese momento."
276,"i've already lost the count on how many times ""i didn't know"" has made me cry"
277,ANTI DEPRECION <3
278,amazing music :)
279,A cualquier cosa se le llama disco hoy en dia...
280,Sounds like dope lemon no?
281,I have this on rewind in my coffeehouse...aka my kitchen
282,thank you for making me feel so good <3
283,realmente me encanta
284,Man for a time I used to listen to this song for my 5am morning routine. Just the beginning reminds me of that unpleasant feeling of not having had enough sleep
285,"this is album is a real experience, a real trip"
286,"thank you, saved this into my playlist :3"
287,"Skinshape anounced that all albums are (during this the easter week-end) FREE or ""name your price"" on bandcamp."
288,too chill
289,Is this made of computers or real? Must be humans :D
290,Probably one of my favorite albums ive discovered this year eat a dose and just ride the gentle waves of bliss into infinity
291,Music to rummage through your dead grandfather's old stuff to
292,"Actually ""filoxiny"" should literally translate to ""fond of sourness/acidity"", wheter filoxenia means hospitable. Both quite makes sense in a weird way!"
293,"Oasis album ""Don't Believe the Truth"" sounds different in this video."
294,"i love this album, everytime i come back<3"
295,Este álbum me hace olvidar mis problemas ('':💕
296,amazing
297,I’ve been dealing with a lot of anxiety and losing focus lately and let’s just say I’m glad I found this.
